,dates,sum,ids,shop
0,04 Jan 2023 11:29 AM,4499,14046,Жёлтый
1,21 Jan 2023 02:31 AM,15902,12783,Жёлтый
2,24 Dec 2022 11:19 PM,12808,14798,Фиолетовый
3,21 Dec 2022 03:23 AM,2598,15032,Зелёный
4,16 Dec 2022 06:29 PM,10191,14162,Оранжевый
5,17 Dec 2022 07:06 AM,18821,14741,Красный
6,21 Dec 2022 02:17 PM,10428,15007,Чёрный
7,03 Jan 2023 02:36 PM,4167,12657,Зелёный
8,25 Jan 2023 06:15 AM,2305,15279,Жёлтый
9,22 Jan 2023 06:56 PM,3973,13209,Чёрный
10,05 Jan 2023 08:13 AM,5916,13184,Синий
11,27 Dec 2022 10:34 PM,13016,14032,Оранжевый
12,05 Feb 2023 10:47 PM,13533,15699,Чёрный
13,15 Jan 2023 10:50 AM,14168,14279,Оранжевый
14,20 Jan 2023 04:04 AM,5838,12094,Синий
15,03 Jan 2023 04:12 PM,16788,10724,Оранжевый
16,16 Dec 2022 01:10 PM,12642,15983,Чёрный
17,13 Dec 2022 01:48 PM,10949,10695,Чёрный
18,10 Jan 2023 04:38 PM,13972,12947,Жёлтый
19,23 Jan 2023 07:18 AM,17159,15071,Зелёный
20,12 Jan 2023 02:18 PM,10707,12106,Зелёный
21,20 Dec 2022 01:14 PM,339,15182,Зелёный
22,08 Jan 2023 07:37 PM,2375,15894,Голубой
23,18 Dec 2022 09:25 AM,19836,14157,Фиолетовый
24,15 Dec 2022 07:53 AM,17306,13318,Голубой
25,07 Jan 2023 01:54 PM,15931,10669,Фиолетовый
26,16 Dec 2022 01:38 PM,4721,15643,Жёлтый
27,19 Jan 2023 09:01 AM,15712,11928,Жёлтый
28,21 Dec 2022 11:38 AM,13901,12305,Голубой
29,13 Dec 2022 04:20 PM,7814,15572,Зелёный
30,10 Jan 2023 07:52 AM,14576,15444,Синий
31,12 Jan 2023 07:25 AM,19429,10695,Жёлтый
32,18 Jan 2023 02:21 AM,13850,14923,Голубой
33,03 Jan 2023 06:25 PM,2953,10304,Зелёный
34,22 Jan 2023 06:21 PM,5047,13896,Фиолетовый
35,27 Jan 2023 09:22 AM,13470,13306,Чёрный
36,06 Jan 2023 10:36 AM,2590,12176,Зелёный
37,04 Feb 2023 07:00 AM,8907,14374,Жёлтый
